field_id,question_text
F1_table1__Production_expansion__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Production expansion > Approximate %
F1_table1__Post_harvest_storage__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Post-harvest / storage > Approximate %
F1_table1__Processing_value_addition__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Processing / value addition > Approximate %
F1_table1__Trading_working_capital__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Trading / working capital > Approximate %
F1_table1__Transport_logistics__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Transport / logistics > Approximate %
F1_table1__Marketing__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Marketing > Approximate %
F1_table1__Diversification__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Diversification > Approximate %
F1_table1__Repayment_refinancing_of_anoth__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Repayment/refinancing of another obligation > Approximate %
F1_table1__Household_personal_expenses__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Household / personal expenses > Approximate %
F1_table1__Other__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > Other: __________ > Approximate %
F1_table1__TOTAL__Approximate,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds > TOTAL > Approximate %
F1_2,Loan Utilization and Financing Adequacy > Actual Use of Loan Proceeds > Actual Use of Loan Proceeds
F2_1,Loan Utilization and Financing Adequacy > Primary Use > What was the single largest use of the loan?
F3_1,Loan Utilization and Financing Adequacy > Intended Versus Actual Use > Was the loan generally used for the same purpose stated in the application?
F3_2,Loan Utilization and Financing Adequacy > Intended Versus Actual Use > Why?
F4_1,Loan Utilization and Financing Adequacy > Loan Adequacy > Was the approved loan sufficient for the financing need?
F5_1,Loan Utilization and Financing Adequacy > Intended Activities Not Fully Financed > Were there activities you could not undertake or fully finance because the loan was insufficient?
F5_2,Loan Utilization and Financing Adequacy > Intended Activities Not Fully Financed > Intended Activities Not Fully Financed
F6_1,Loan Utilization and Financing Adequacy > Estimated Financing Gap > How much additional financing would have been needed? PHP
F6_2,Loan Utilization and Financing Adequacy > Estimated Financing Gap > Estimated Financing Gap
F7_1,Loan Utilization and Financing Adequacy > Supplementary Financing > Did you use other funds in addition to AGRISENSO Plus for the same activity?
F7_2,Loan Utilization and Financing Adequacy > Supplementary Financing > Supplementary Financing
F8_1,Loan Utilization and Financing Adequacy > Timeliness of Loan Release > Was the loan released when the financing was needed?
F8_2,Loan Utilization and Financing Adequacy > Timeliness of Loan Release > What was the main effect?
F9_1,"Loan Utilization and Financing Adequacy > Overall Financing Adequacy > Considering the amount, timing, and intended use, how adequate was the AGRISENSO Plus financing?"
F9_2,Loan Utilization and Financing Adequacy > Overall Financing Adequacy > Reason
G1_likert1,"Financial Knowledge and Capability > Understanding Financing Terms > How confident are you that you understand interest rates, loan terms, repayment schedules, grace periods, and fees?"
G2_likert1,Financial Knowledge and Capability > Comparing Financing Options > How confident are you that you can compare different financing options?
G3_likert1,Financial Knowledge and Capability > Preparing a Budget > How confident are you that you can prepare a simple budget for the farm/fishery/enterprise?
G4_likert1,"Financial Knowledge and Capability > Understanding Cost of Borrowing > How confident are you that you understand how interest, loan duration, and charges affect total repayment?"
G5_likert1,Financial Knowledge and Capability > Assessing Repayment Capacity > How confident are you that you can assess whether expected income will be sufficient to meet repayments?
G6_likert1,Financial Knowledge and Capability > Repayment Planning > How confident are you that you can plan repayment based on expected income or production cycles?
G7_1,Financial Knowledge and Capability > Separation of Household and Enterprise Finances > How often do you keep farm/enterprise funds separate from household/personal funds?
G8_1,Financial Knowledge and Capability > Budgeting Practice > How often do you prepare or use a budget/spending plan?
G9_1,Financial Knowledge and Capability > Record-Keeping Practice > How often do you record income and expenses?
G10_1,"Financial Knowledge and Capability > Repayment Planning Practice > Before borrowing, did you identify where repayment funds would come from and when they would become available?"
G11_1,Financial Knowledge and Capability > Savings / Financial Buffer > Do you or the organization set aside savings/reserves?
G11_2,Financial Knowledge and Capability > Savings / Financial Buffer > Savings are set aside mainly for:
G12_table1__Mobile_banking,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Mobile banking"
G12_table1__Digital_wallet_e_g_GCash_Maya,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Digital wallet (e.g., GCash/Maya)"
